"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"GANESHA-WN-1-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 minute and 33 seconds","370.57 MB","35 minutes and 2 seconds","8 hours","0 seconds","Disabled"
"GANESHA-WN-2-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 51 seconds","928.86 MB","2 hours, 48 minutes and 52 seconds","8 hours","0 seconds","Disabled"
"GANESHA-WN-3-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 12 seconds","204.02 MB","4 hours, 21 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"PDSB-CONTROL-PLANE","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 17 seconds","694.94 MB","2 hours, 42 minutes and 19 seconds","8 hours","0 seconds","Disabled"
"PDSB-ELK","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","12 seconds","123.23 MB","?","1 hour","0 seconds","Disabled"
"PDSB-IBB","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 second","6.38 MB","18 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"PDSB-IBB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 minute and 49 seconds","2.18 MB","50 minutes and 49 seconds","8 hours","0 seconds","Disabled"
"PDSB-IBMB","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","6 seconds","88.44 MB","4 hours, 3 minutes and 25 seconds","8 hours","0 seconds","Disabled"
"PDSB-IBMB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 seconds","6.5 MB","3 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"PDSB-MGATE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 minute and 1 second","29.47 MB","1 hour, 28 minutes and 56 seconds","8 hours","0 seconds","Disabled"
"PDSB-PGSQL","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","3 seconds","2.93 MB","?","5 minutes","0 seconds","Disabled"
"PDSB-PGSQL-SLAVE","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","4 seconds","6.57 MB","?","5 minutes","0 seconds","Disabled"
"PDSB-PROXY-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 1 second","6.95 MB","2 hours, 21 minutes and 1 second","8 hours","0 seconds","Disabled"
"PDSB-PROXY-MGATE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 second","4.8 MB","54 minutes and 27 seconds","8 hours","0 seconds","Disabled"
"PDSB-REDIS","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","5 seconds","31.15 MB","1 hour, 48 minutes and 56 seconds","8 hours","0 seconds","Disabled"
"PDSB-SSL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 seconds","16.66 MB","2 hours, 48 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"PDSB-VCALL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 15 seconds","329.8 MB","1 hour, 39 minutes and 15 seconds","8 hours","0 seconds","Disabled"
"VFDS-KLCVNAPP-082","OK","192.168.191.26","FDS-VREP-RMP-26","","19 of 19","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","49 seconds","333.54 MB","7 minutes and 8 seconds","30 minutes","0 seconds","Disabled"
"VFDS-KLCVNCHN-087","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","38 seconds","296.58 MB","1 minute and 1 second","1 hour","0 seconds","Disabled"
"VFDS-KLCVNCHN-115","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","20 seconds","204.2 MB","12 minutes and 24 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLCVNCHN-116","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","2 minutes and 18 seconds","228.52 MB","19 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLCVNNGX-098","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","3 seconds","15.94 MB","?","1 hour","0 seconds","Disabled"
"VFDS-KLCVNWEB-091","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","2 seconds","544 KB","1 minute and 1 second","1 hour","0 seconds","Disabled"
"VFDS-KLSIGVER-114","OK","192.168.191.26","FDS-VREP-RMP-26","","18 of 18","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","5 minutes and 54 seconds","1.83 GB","36 minutes and 54 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSURNGX-100","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","2 minutes and 1 second","1 MB","12 minutes and 2 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSYHAPP-083","OK","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","18 seconds","184.96 MB","?","30 minutes","0 seconds","Disabled"
"VFDS-KLSYHCHN-088","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","2 minutes and 18 seconds","154.99 MB","19 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSYHCHN-120","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","2 minutes and 21 seconds","157.98 MB","0 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSYHNGX-099","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","2 seconds","2.84 MB","19 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSYHWEB-092","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 17, 2026","1 minute and 41 seconds","1.02 MB","8 minutes and 34 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R10_CCBI-PROD_WEB_109","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","datastore_ssd_bwk_rmp_5","Datastore Default","Jun 17, 2026","1 second","1.18 MB","33 minutes and 38 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R10_CCBI-PROD_SILEO_116","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","datastore_ssd_bwk_rmp_5","Datastore Default","Jun 17, 2026","1 minute and 45 seconds","104.56 MB","5 minutes and 41 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R10_CCBI-PROD_SLIK_115","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","datastore_ssd_bwk_rmp_5","Datastore Default","Jun 17, 2026","16 seconds","76.59 MB","22 minutes and 13 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_APP_53","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 31 seconds","319.59 MB","12 minutes and 15 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_CBR_41","Not Active (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Dec 5, 2025","7 seconds","138.46 MB","4653 hours, 36 minutes and 50 seconds","3 hours","4632 hours and 53 minutes","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_CHN_58","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","25 seconds","218.27 MB","?","2 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_CHN_59","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 minute and 15 seconds","108.76 MB","32 minutes and 5 seconds","2 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_LB_54","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","9 seconds","77.63 MB","6 minutes and 40 seconds","3 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_LOCKMGR_56","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 seconds","12.44 MB","27 minutes and 36 seconds","3 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R16_BMAS-PROD_APP_53","Incremental Sync (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","16 of 16","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","44 minutes and 54 seconds","33.82 GB","2 hours, 6 minutes and 41 seconds","15 minutes","1 hour and 44 minutes","Disabled"
"VFDS_RHEL6.5_R16_BMAS-PROD_CBR_41","OK","192.168.191.26","FDS-VREP-RMP-26","","13 of 13","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 minute and 36 seconds","99.52 MB","?","1 hour","0 seconds","Disabled"
