"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VFDS-KLSYHNGX-099","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 second","1.48 MB","45 minutes and 24 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSYHWEB-092","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 seconds","1.6 MB","1 minute and 10 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R10_CCBI-PROD_WEB_109","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","datastore_ssd_bwk_rmp_5","Datastore Default","Jun 20, 2026","2 seconds","2.06 MB","19 minutes and 4 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R10_CCBI-PROD_SILEO_116","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","datastore_ssd_bwk_rmp_5","Datastore Default","Jun 20, 2026","1 minute and 20 seconds","110.87 MB","20 minutes and 25 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R10_CCBI-PROD_SLIK_115","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","datastore_ssd_bwk_rmp_5","Datastore Default","Jun 20, 2026","1 minute and 12 seconds","72.97 MB","53 minutes and 22 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_APP_53","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 minutes and 11 seconds","76.52 MB","6 minutes and 17 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_CBR_41","Not Active (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Dec 5, 2025","7 seconds","138.46 MB","4731 hours, 52 minutes and 5 seconds","3 hours","4632 hours and 53 minutes","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_CHN_58","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 minutes and 10 seconds","242.66 MB","24 minutes and 24 seconds","2 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_CHN_59","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","17 seconds","246.38 MB","10 minutes and 10 seconds","2 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_LB_54","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","4 seconds","67.17 MB","1 hour, 0 minutes and 28 seconds","3 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R15_INA-PROD_LOCKMGR_56","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","4 seconds","60.59 MB","?","3 hours","0 seconds","Disabled"
"VFDS_RHEL6.5_R16_BMAS-PROD_APP_53","OK","192.168.191.26","FDS-VREP-RMP-26","","16 of 16","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","7 seconds","15.38 MB","55 seconds","15 minutes","0 seconds","Disabled"
"VFDS_RHEL6.5_R16_BMAS-PROD_CBR_41","OK","192.168.191.26","FDS-VREP-RMP-26","","13 of 13","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","6 seconds","26.64 MB","6 minutes and 33 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R16_BMAS-PROD_CHN_52","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","11 seconds","116.88 MB","12 minutes and 29 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R16_BMAS-PROD_CHN_58","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 minute and 44 seconds","420.13 MB","29 minutes and 40 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.5_R16_BMAS-PROD_CHN_60","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","25 seconds","441.3 MB","37 minutes","1 hour","0 seconds","Disabled"
